source_ip,destination_ip,source_port,destination_port,protocol,timestamp,event_type,severity,bytes_transferred,connection_duration,user_id,application,geo_location,threat_category,action_taken
192.168.1.100,10.0.0.1,54321,80,HTTP,15-01-2024 08:30,connection_established,low,1024,300,U001,web_browser,US,normal,allowed
192.168.1.100,8.8.8.8,54322,53,DNS,15-01-2024 08:30,dns_query,low,512,5,U001,dns_client,US,normal,allowed
192.168.1.100,external-server.com,54323,443,HTTPS,15-01-2024 10:45,data_transfer,medium,512000,1200,U001,email_client,US,data_exfiltration,monitored
192.168.1.101,10.0.0.2,54324,22,SSH,15-01-2024 08:45,login_attempt,low,256,60,U002,ssh_client,US,normal,allowed
192.168.1.101,10.0.0.3,54325,445,SMB,15-01-2024 09:30,file_access,low,1024000,180,U002,file_sharing,US,normal,allowed
192.168.1.101,10.0.0.4,54326,631,IPP,15-01-2024 12:15,print_job,low,256000,45,U002,print_service,US,normal,allowed
203.45.67.89,10.0.0.5,54327,22,SSH,15-01-2024 09:00,remote_login,medium,1024,300,U003,ssh_client,Remote,remote_access,monitored
203.45.67.89,github.com,54328,443,HTTPS,15-01-2024 10:30,git_operation,medium,5120000,600,U003,git_client,Remote,code_repository,monitored
203.45.67.89,external-git.com,54329,443,HTTPS,15-01-2024 11:45,git_push,high,1024000,300,U003,git_client,Remote,code_exfiltration,blocked
192.168.1.104,10.0.0.6,54330,3306,MySQL,15-01-2024 08:20,database_connection,low,1024,300,U004,database_client,US,normal,allowed
192.168.1.104,10.0.0.6,54331,3306,MySQL,15-01-2024 09:45,database_query,medium,20480000,1800,U004,database_client,US,data_access,monitored
192.168.1.104,10.0.0.6,54332,3306,MySQL,15-01-2024 13:20,database_export,high,5120000,900,U004,database_client,US,data_exfiltration,monitored
192.168.1.104,smtp.external.com,54333,587,SMTP,15-01-2024 15:45,email_send,high,5120000,120,U004,email_client,US,data_exfiltration,blocked
192.168.1.105,10.0.0.7,54334,445,SMB,15-01-2024 08:15,file_access,low,1024,300,U005,file_sharing,US,normal,allowed
192.168.1.105,10.0.0.8,54335,445,SMB,15-01-2024 10:00,file_access,medium,1536000,180,U005,file_sharing,US,sensitive_data,monitored
192.168.1.105,10.0.0.8,54336,445,SMB,15-01-2024 11:30,file_access,medium,1024000,120,U005,file_sharing,US,sensitive_data,monitored
192.168.1.105,unknown-device,54337,445,SMB,15-01-2024 16:20,usb_connection,high,2048000,60,U005,usb_device,US,data_exfiltration,blocked
192.168.1.106,10.0.0.9,54338,80,HTTP,15-01-2024 08:30,web_access,low,1024,300,U006,web_browser,US,normal,allowed
192.168.1.106,10.0.0.10,54339,445,SMB,15-01-2024 09:15,file_access,low,3072000,180,U006,file_sharing,US,normal,allowed
192.168.1.106,onedrive.live.com,54340,443,HTTPS,15-01-2024 14:45,cloud_sync,medium,4096000,600,U006,cloud_client,US,data_sync,monitored
192.168.1.107,10.0.0.11,54341,22,SSH,15-01-2024 08:45,login_attempt,low,1024,300,U007,ssh_client,US,normal,allowed
192.168.1.107,10.0.0.12,54342,445,SMB,15-01-2024 10:30,file_access,medium,8192000,900,U007,file_sharing,US,research_data,monitored
192.168.1.107,10.0.0.13,54343,22,SSH,15-01-2024 12:00,script_execution,low,51200,60,U007,ssh_client,US,normal,allowed
192.168.1.108,10.0.0.14,54344,22,SSH,15-01-2024 08:20,admin_login,medium,1024,300,U008,ssh_client,US,admin_access,monitored
192.168.1.108,10.0.0.15,54345,22,SSH,15-01-2024 09:00,config_access,medium,256000,120,U008,ssh_client,US,config_access,monitored
192.168.1.108,10.0.0.16,54346,22,SSH,15-01-2024 11:15,firewall_access,high,102400,180,U008,ssh_client,US,firewall_config,monitored
192.168.1.108,10.0.0.16,54347,22,SSH,15-01-2024 15:30,config_change,high,51200,60,U008,ssh_client,US,firewall_modification,blocked
192.168.1.109,10.0.0.17,54348,80,HTTP,15-01-2024 08:35,web_access,low,1024,300,U009,web_browser,US,normal,allowed
192.168.1.109,10.0.0.18,54349,445,SMB,15-01-2024 09:30,file_access,medium,4096000,240,U009,file_sharing,US,legal_documents,monitored
192.168.1.109,smtp.legal.com,54350,587,SMTP,15-01-2024 13:45,email_send,high,2048000,120,U009,email_client,US,legal_data,blocked
192.168.1.110,10.0.0.19,54351,80,HTTP,15-01-2024 08:25,web_access,low,1024,300,U010,web_browser,US,normal,allowed
192.168.1.110,10.0.0.20,54352,445,SMB,15-01-2024 09:45,file_access,low,1536000,180,U010,file_sharing,US,normal,allowed
192.168.1.110,competitor.com,54353,443,HTTPS,15-01-2024 12:30,web_browsing,medium,0,300,U010,web_browser,US,competitor_access,monitored
192.168.1.110,10.0.0.21,54354,445,SMB,15-01-2024 14:15,file_save,medium,512000,60,U010,file_sharing,US,screenshot_save,monitored
192.168.1.111,malicious-server.com,54355,443,HTTPS,15-01-2024 16:00,malware_communication,high,1024000,300,UNKNOWN,malware,Unknown,malware,blocked
192.168.1.112,ransomware-server.net,54356,443,HTTPS,15-01-2024 16:30,ransomware_communication,high,2048000,600,UNKNOWN,ransomware,Unknown,ransomware,blocked
192.168.1.113,10.0.0.22,54357,22,SSH,15-01-2024 17:00,brute_force_attempt,high,1024,60,ATTACKER,ssh_attack,Unknown,brute_force,blocked
192.168.1.114,10.0.0.23,54358,3389,RDP,15-01-2024 17:30,remote_desktop_attempt,medium,1024,300,UNKNOWN,rdp_client,Unknown,remote_access,monitored
192.168.1.115,10.0.0.24,54359,445,SMB,15-01-2024 18:00,eternal_blue_attempt,high,1024,60,ATTACKER,exploit,Unknown,exploit,blocked
