timestamp,user_id,ml_prediction,probability_threat,risk_score,triggered_rules,final_decision
2026-09-06T09:12:16,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:12:17,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:12:17,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:12:17,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:13:38,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:31,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:31,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:31,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:31,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:32,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:32,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:32,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:32,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:48,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
